1 traditional spelling,2 soundSpel,3 short note,4 alternates,5 British,6 TS homograph,7 SS homophone,8 long note
a’a,aa’aa,*,,,,,
aa,aa’aa,*,,,,,
aah,aa,,,,,,
aback,abak,,,,,,
abacus,abacus,,,,,,
abaft,abaft,,,,,,
abalone,abaloeny,,,,,,
abandon,abandon,,,,,,
abandoned,abandond,,,,,,
abandoning,abandoning,,,,,,
abandonment,abandonment,,,,,,
abandonments,abandonments,*,,,,,
abandons,abandons,,,,,,
abase,abaess,,,,,,
abasement,abaesment,,,,,,
abashed,abasht,,,,,,
abate,abaet,,,,,,
abated,abaeted,,,,,,
abatement,abaetment,,,,,,
abatements,abaetments,,,,,,
abates,abaets,,,,,,
abating,abaeting,,,,,,
abattoir,abatwar,,,,,,
abbe,abae,,,,,,
abbes,abaes,,,,,,
abbess,abes,,,,,,
abbey,aby,,,,,,
abbeys,abys,,,,,,
abbot,abot,,,,,,
abbots,abots,,,,,,
abbreviate,abreeviaet,,,,,,
abbreviated,abreeviaeted,,,,,,
abbreviates,abreeviaets,,,,,,
abbreviating,abreeviaeting,,,,,,
abbreviation,abreeviaeshon,,,,,,
abbreviations,abreeviaeshons,,,,,,
abdicate,abdicaet,,,,,,
abdicated,abdicaeted,,,,,,
abdicates,abdicaets,,,,,,
abdicating,abdicaeting,,,,,,
abdication,abdicaeshon,,,,,,
abdications,abdicaeshons,,,,,,
abdomen,abdomen,,,,,,
abdomens,abdomens,,,,,,
abdominal,abdominal,,,,,,
abdominally,abdominaly,,,,,,
abduct,abdukt,,,,,,
abducted,abdukted,,,,,,
abducting,abdukting,,,,,,
abduction,abdukshon,,,,,,
abductions,abdukshons,,,,,,
abductor,abduktor,,,,,,
abductors,abduktors,,,,,,
abducts,abdukts,,,,,,
abed,abed,,,,,,
aberrance,aberranss,,,,,,
aberrant,aberrant,,,,,,
aberrantly,aberrantly,,,,,,
aberration,aberaeshon,,,,,,
aberrational,aberaeshonal,,,,,,
aberrations,aberaeshons,,,,,,
abet,abet,,,,,,
abets,abets,,,,,,
abetted,abeted,,,,,,
abetting,abeting,,,,,,
abettor,abetor,,,,,,
abeyance,abaeanss,,,,,,
abhor,abor,,,,,,
abhored,abord,,,,,,
abhorrence,aborenss,,,,,,
abhorrent,aborent,,,,,,
abhorrently,aborently,,,,,,
abhorring,aboring,,,,,,
abhors,abors,,,,,,
abide,abied,,,,,,
abides,abieds,,,,,,
abiding,abieding,,,,,,
Abigail,Abigael,,,,,,
abilities,abilitys,,,,,,
ability,ability,,,,,,
abject,abjekt,,,,,,
abjection,abjekshon,,,,,,
abjections,abjekshons,,,,,,
abjectly,abjektly,,,,,,
abjuration,abjuuraeshon,,,,,,
abjurations,abjuuraeshons,,,,,,
abjure,abjuur,,,,,,
abjured,abjuurd,,,,,,
abjures,abjuurs,,,,,,
abjuring,abjuuring,,,,,,
ablate,ablaet,,,,,,
ablated,ablaeted,,,,,,
ablates,ablaets,,,,,,
ablating,ablaeting,,,,,,
ablation,ablaeshon,,,,,,
ablations,ablaeshons,,,,,,
ablative,ablativ,,,,,,
ablatives,ablativs,,,,,,
ablaze,ablaez,,,,,,
